Month,Avg\.Players,Gain,_Gain,PeakPlayers
Last 30 Days,"561,576.7","+13,415.1",+2.45%,"950,586"
"
					November 2021
				","548,161.7","+35,725.8",+6.97%,"935,593"
"
					October 2021
				","512,435.8",+84.9,+0.02%,"864,966"
"
					September 2021
				","512,350.9",+269.0,+0.05%,"942,519"
"
					August 2021
				","512,082.0","+6,014.6",+1.19%,"802,544"
"
					July 2021
				","506,067.4","-43,279.7",-7.88%,"763,523"
"
					June 2021
				","549,347.1","-110,541.8",-16.75%,"929,940"
"
					May 2021
				","659,888.9","-63,457.6",-8.77%,"1,087,197"
"
					April 2021
				","723,346.5","-17,581.3",-2.37%,"1,148,077"
"
					March 2021
				","740,927.8",-85.4,-0.01%,"1,198,581"
"
					February 2021
				","741,013.2","-2,196.4",-0.30%,"1,123,485"
"
					January 2021
				","743,209.7","+25,405.9",+3.54%,"1,124,553"
"
					December 2020
				","717,803.8","+49,049.2",+7.33%,"1,164,396"
"
					November 2020
				","668,754.6","+55,087.9",+8.98%,"1,037,464"
"
					October 2020
				","613,666.7","+6,816.4",+1.12%,"943,876"
"
					September 2020
				","606,850.3","-33,107.3",-5.17%,"977,769"
"
					August 2020
				","639,957.7","+14,056.9",+2.25%,"925,348"
"
					July 2020
				","625,900.8","-45,746.7",-6.81%,"857,560"
"
					June 2020
				","671,647.5","-97,147.8",-12.64%,"1,009,467"
"
					May 2020
				","768,795.3","-88,809.0",-10.36%,"1,193,359"
"
					April 2020
				","857,604.2","+186,570.9",+27.80%,"1,305,714"
"
					March 2020
				","671,033.3","+127,054.1",+23.36%,"1,145,972"
"
					February 2020
				","543,979.2","+42,783.2",+8.54%,"916,996"
"
					January 2020
				","501,196.0","+44,494.4",+9.74%,"817,229"
"
					December 2019
				","456,701.6","+30,620.8",+7.19%,"767,060"
"
					November 2019
				","426,080.8","+17,085.5",+4.18%,"758,412"
"
					October 2019
				","408,995.3","-1,930.3",-0.47%,"747,937"
"
					September 2019
				","410,925.6","-4,171.7",-1.00%,"720,052"
"
					August 2019
				","415,097.3","+21,314.5",+5.41%,"647,461"
"
					July 2019
				","393,782.8","+4,406.1",+1.13%,"578,933"
"
					June 2019
				","389,376.7","+24,959.4",+6.85%,"587,724"
"
					May 2019
				","364,417.3","+12,427.4",+3.53%,"588,453"
"
					April 2019
				","351,989.9","-38,250.2",-9.80%,"621,614"
"
					March 2019
				","390,240.2","+18,881.2",+5.08%,"680,071"
"
					February 2019
				","371,359.0","-30,007.9",-7.48%,"654,069"
"
					January 2019
				","401,366.9","+5,857.6",+1.48%,"684,511"
"
					December 2018
				","395,509.3","+85,423.8",+27.55%,"746,548"
"
					November 2018
				","310,085.4","-15,822.4",-4.85%,"546,031"
"
					October 2018
				","325,907.8","-7,256.2",-2.18%,"565,968"
"
					September 2018
				","333,164.0","+49,632.7",+17.51%,"583,029"
"
					August 2018
				","283,531.3","+10,224.0",+3.74%,"454,370"
"
					July 2018
				","273,307.3","+6,445.0",+2.42%,"426,008"
"
					June 2018
				","266,862.2","+4,691.4",+1.79%,"420,261"
"
					May 2018
				","262,170.9","-26,905.8",-9.31%,"454,481"
"
					April 2018
				","289,076.7","-65,193.6",-18.40%,"523,262"
"
					March 2018
				","354,270.3","-28,186.8",-7.37%,"672,502"
"
					February 2018
				","382,457.1",+426.6,+0.11%,"686,588"
"
					January 2018
				","382,030.5","+41,153.7",+12.07%,"715,850"
"
					December 2017
				","340,876.9","+19,745.5",+6.15%,"598,405"
"
					November 2017
				","321,131.4","-20,729.9",-6.06%,"601,881"
"
					October 2017
				","341,861.3","-12,540.8",-3.54%,"639,968"
"
					September 2017
				","354,402.1","-20,023.6",-5.35%,"665,371"
"
					August 2017
				","374,425.7","-3,163.3",-0.84%,"595,781"
"
					July 2017
				","377,589.0","+3,201.0",+0.85%,"624,785"
"
					June 2017
				","374,388.0","+2,558.7",+0.69%,"614,621"
"
					May 2017
				","371,829.3","-20,369.8",-5.19%,"692,966"
"
					April 2017
				","392,199.2","+5,290.5",+1.37%,"709,841"
"
					March 2017
				","386,908.7","-15,477.0",-3.85%,"742,356"
"
					February 2017
				","402,385.7","+9,276.2",+2.36%,"744,468"
"
					January 2017
				","393,109.5","+50,913.8",+14.88%,"814,616"
"
					December 2016
				","342,195.7","+13,150.4",+4.00%,"662,460"
"
					November 2016
				","329,045.3","-4,031.2",-1.21%,"627,124"
"
					October 2016
				","333,076.5","+10,550.6",+3.27%,"661,985"
"
					September 2016
				","322,525.9","-24,703.4",-7.11%,"638,360"
"
					August 2016
				","347,229.3","-6,548.3",-1.85%,"599,095"
"
					July 2016
				","353,777.6","+19,466.5",+5.82%,"636,056"
"
					June 2016
				","334,311.1","-4,427.3",-1.31%,"579,110"
"
					May 2016
				","338,738.4","-37,057.5",-9.86%,"668,612"
"
					April 2016
				","375,795.9","-3,631.1",-0.96%,"850,485"
"
					March 2016
				","379,427.0","+3,141.9",+0.83%,"737,599"
"
					February 2016
				","376,285.0","+10,913.9",+2.99%,"738,969"
